Order,Level,Code,Parent,Description,Unit,Description of unit,Production type,Description of production type,References to HS/CN
1854965,3,08111136,081111,Marble and travertine merely cut into rectangular or square blocks or slabs,kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2515 12
1854966,3,08111150,081111,"Ecaussine and other calcareous monumental or building stone of an apparent specific gravity ≥ 2,5",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2515 20
1854967,2,081112,0811,"Granite, sandstone and other ornamental or building stone",,,,,
1854968,3,08111233,081112,"Granite, crude or roughly trimmed",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2516 11
1854969,3,08111236,081112,Granite merely cut into rectangular (including square) blocks or slabs,kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2516 12
1854970,3,08111250,081112,Sandstone,kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2516 20
1854971,3,08111290,081112,"Porphyry, basalt, quartzites and other monumental or building stone, crude, roughly trimmed or merely cut (excluding calcareous monumental or building stone of a gravity ≥ 2,5, granite and sandstone)",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2506 20 + 2516 90
1854972,2,081120,0811,Limestone and gypsum,,,,,
1854973,3,08112030,081120,Gypsum and anhydrite,kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2520 10
1854974,3,08112050,081120,"Limestone flux, limestone and other calcareous stone used for the manufacture of lime or cement (excluding crushed limestone aggregate and calcareous dimension stone)",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2521
1854975,2,081130,0811,Chalk and uncalcined dolomite,,,,,
1854976,3,08113010,081130,Chalk,kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2509
1854977,3,08113030,081130,"Dolomite, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs (excluding calcined or sintered dolomite, agglomerated dolomite and broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2518 10
1854978,2,081140,0811,Slate,,,,,
1854979,3,08114000,081140,"Slate, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2514
1854980,1,0812,,Operation of gravel and sand pits; mining of clays and kaolin,,,,,
1854981,2,081211,0812,Natural sands,,,,,
1854982,3,08121150,081211,Silica sands (quartz sands or industrial sands),kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",2505 10
1854983,3,08121190,081211,"Construction sands such as clayey sands; kaolinic sands; feldspathic sands (excluding silica sands, metal bearing sands)",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",2505 90
1854984,2,081212,0812,"Granules, chippings and powder; pebbles, gravel",,,,,
1854985,3,08121210,081212,"Gravel and pebbles of a kind used for concrete aggregates, for road metalling or for railway or other ballast; shingle and flint",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",2517 10 10
1854986,3,08121230,081212,"Crushed stone of a kind used for concrete aggregates, for road metalling or for railway or other ballast (excluding gravel, pebbles, shingle and flint)",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",2517[.10(.20 + .80)]
1854987,3,08121250,081212,"Granules, chippings and powder of marble",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",2517 41
1854988,3,08121290,081212,"Granules, chippings and powder of travertine, ecaussine, granite, porphyry, basalt, sandstone and other monumental stone",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",2517 49
1854989,2,081213,0812,"Mixtures of slag and similar industrial waste products, whether or not incorporating pebbles, gravel, shingle and flint for construction use",,,,,
1854990,3,08121300,081213,"Mixtures of slag and similar industrial waste products, whether or not incorporating pebbles, gravel, shingle and flint for construction use",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",2517 20
1854991,2,081221,0812,Kaolin and other kaolinic clays,,,,,
1854992,3,08122140,081221,"Kaolin, not calcined",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2507 00 20a
1854993,3,08122160,081221,Kaolinitic clays (ball and plastic clays),kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2507 00 80
1854994,2,081222,0812,"Other clays, andalusite, kyanite and sillimanite; mullite; chamotte or dinas earths",,,,,
1854995,3,08122210,081222,Bentonite,kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2508 10
1854996,3,08122230,081222,Fireclay,kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2508 30
1854997,3,08122250,081222,"Common clays and shales for construction use (excluding bentonite, fireclay, expanded clays, kaolin and kaolinic clays); andalusite, kyanite and sillimanite; mullite; chamotte or dinas earths",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2508[.40 + .50 + .60 + .70]
1854998,1,0891,,Mining of chemical and fertiliser minerals,,,,,
1854999,2,089111,0891,Natural calcium or aluminium calcium phosphates,,,,,
1855000,3,08911100,089111,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2510[.10 + .20]
1855001,2,089112,0891,Unroasted iron pyrites; crude or unrefined sulphur,,,,,
1855002,3,08911200,089112,Unroasted iron pyrites; crude or unrefined sulphur (including recovered sulphur),kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2502 + 2503 00 10
1855003,2,089119,0891,Other chemical and fertiliser minerals,,,,,
1855004,3,08911900,089119,Other chemical and fertiliser minerals,kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2511[.10 + .20] + 2528 + 2529[.21 + .22] + 2530[.20 + .90]
1855005,1,0893,,Extraction of salt,,,,,
1855006,2,089310,0893,Salt and pure sodium chloride; sea water,,,,,
1855007,3,08931000,089310,"Salt (including denatured salt but excluding salt suitable for human consumption) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2501[.00(.31 + .51 + .99)]
1855008,1,0899,,Other mining and quarrying n.e.c.,,,,,
1855009,2,089910,0899,"Bitumen and asphalt, natural; asphaltites and asphaltic rock",,,,,
1855010,3,08991000,089910,Natural bitumen and natural asphalt; asphaltites and asphaltic rocks,kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2714 90
1855011,2,089921,0899,"Precious and semi-precious stones (excluding industrial diamonds), unworked or simply sawn or roughly shaped",,,,,
1855012,3,08992100,089921,"Precious and semi-precious stones (excluding industrial diamonds), unworked or simply sawn or roughly shaped",c/k,DE: Anzahl Karat (1 metrisches Karat=2.10¯⁴ kg). EN: Carats (1 metric carat=2.10¯⁴ kg). FR: Nombre de carats (1 carat métrique=2.10¯⁴ kg),T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",7102[.10 + .31] + 7103 10
1855013,2,089922,0899,"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural corundum, natural garnet and other natural abrasives",,,,,
1855014,3,08992200,089922,"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural corundum, natural garnet and other natural abrasives",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2513[.10 + .20] + 7102 21
1855015,2,089929,0899,Other minerals,,,,,
1855016,3,08992900,089929,Other minerals,kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden. EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported. FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2504[.10 + .90] + 2506 10 + 2512 + 2519[.10 + .90(.10 + .30 + .90)] + 2524[.10 + .90] + 2525[.10 + .20 + .30] + 2526[.10 + .20] + 2529[.10 + .30] + 2530 10 + 2621 90
1855017,1,1011,,Processing and preserving of meat,,,,,
1855018,2,101111,1011,"Meat of bovine animals, fresh or chilled",,,,,
1855019,3,10111140,101111,"Fresh or chilled carcases, half-carcases and quarters with bone in, of beef and veal",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",0201[.10 + .20(.20 + .30 + .50)]
1855020,3,10111190,101111,"Fresh or chilled cuts, of beef and veal",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",0201[.20(.90) + .30]
1855021,2,101112,1011,"Meat of swine, fresh or chilled",,,,,
1855022,3,10111230,101112,"Fresh or chilled carcases and half-carcases, of pig meat (including fresh meat packed with salt as a temporary preservative)",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",0203[.11(.10 + .90)]
1855023,3,10111250,101112,"Fresh or chilled hams, shoulders and cuts thereof with bone in, of pig meat (including fresh meat packed with salt as a temporary preservative)",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",0203[.12(.11 + .19 + .90)]
1855024,3,10111290,101112,"Fresh or chilled pig meat (including fresh meat packed with salt as a temporary preservative; excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",0203[.19(.11 + .13 + .15 + .55 + .59 + .90)]
1855025,2,101113,1011,"Meat of sheep, fresh or chilled",,,,,
1855026,3,10111300,101113,"Fresh or chilled carcases, half-carcases and cuts, of lamb or sheep",kg,DE: Kilogramm. EN: Kilogram. FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden. EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported. FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler",0204[.10 + .21 + .22(.10 + .30 + .50 + .90) + .23]
1855027,2,101114,1011,"Meat of goats, fresh or chilled",,,,,
