ID,PRCCODE,Description,EXPQNT,EXPVAL,IMPQNT,IMPVAL,PRODQNT,PRODVAL,QNTUNIT
573,13301410,Printing of woven fabrics of silk,:,:,:,:,:,:,:
574,13301420,"Printing of woven fabrics of wool, fine or coarse animal hair or horsehair",:,:,:,:,:,:,:
575,13301430,Printing of woven fabrics of cotton,:,:,:,:,:,:,:
576,13301440,"Printing of woven fabrics of flax, jute, other textile bast fibres, vegetable textile fibres and paper yarn",:,:,:,:,:,:,:
577,13301450,Printing of woven fabrics of synthetic filament yarn or of synthetic fibres,:,:,:,:,:,:,:
578,13301460,Printing of woven fabrics of artificial filament yarn or of artificial fibres,:,:,:,:,:,:,:
579,13301470,"Printing of woven pile fabrics and chenille fabrics (excluding terry towelling and similar woven terry fabrics of cotton, narrow woven fabrics)",:,:,:,:,:,:,:
580,13301480,Printing of terry towelling and similar terry fabrics (excluding tufted textile fabrics),:,:,:,:,:,:,:
581,13301490,Printing of knitted or crocheted fabrics and non-wovens,:,:,:,:,:,:,:
582,13301910,"Finishing of woven fabrics of silk (excluding bleaching, dyeing, printing)",:,:,:,:,:,0,:
583,13301920,"Finishing of woven fabrics of wool, fine or coarse animal hair or horsehair (excluding bleaching, dyeing, printing)",:,:,:,:,:,"13,379,525",:
584,13301930,"Finishing of woven fabrics of cotton (excluding bleaching, dyeing, printing)",:,:,:,:,:,"19,000,576",:
585,13301940,"Finishing of woven fabrics of flax, jute, other textile bast fibres, vegetable textile fibres and paper yarn (excluding bleaching, dyeing, printing)",:,:,:,:,:,0,:
586,13301950,"Finishing of woven fabrics of synthetic filament yarn or of synthetic fibres (excluding bleaching, dyeing, printing)",:,:,:,:,:,"4,483,955",:
587,13301960,"Finishing of woven fabrics of artificial filament yarn or of artificial fibres (excluding bleaching, dyeing, printing)",:,:,:,:,:,:,:
588,13301970,"Finishing (excluding bleaching, dyeing, printing) of woven pile fabrics and chenille fabrics (excluding terry towelling and similar woven terry fabrics of cotton, narrow woven fabrics)",:,:,:,:,:,0,:
589,13301980,"Finishing (excluding bleaching, dyeing, printing), of terry towelling and similar terry fabrics (excluding tufted textile fabrics)",:,:,:,:,:,0,:
590,13301990,"Finishing of knitted or crocheted fabrics and non-wovens (excluding bleaching, dyeing, printing)",:,:,:,:,:,:,:
591,13301995,Finishing services of clothing,:,:,:,:,:,"154,333,058",:
592,13911100,"Pile fabrics, terry fabrics, knitted or crocheted","3,345,000","16,424,770","3,824,200","20,877,670","936,957","12,050,276",kg
593,13911910,Knitted or crocheted fabrics (excluding pile fabrics),"15,300,900","97,852,800","36,109,700","157,103,290","13,358,768","163,337,139",kg
594,13911920,Artificial fur and articles thereof,:,"1,061,720",:,"3,779,630",:,:,:
595,13921130,Blankets and travelling rugs of wool or fine animal hair (excluding electric blankets),"284,467","13,015,800","853,174","10,247,330","325,851","16,039,154",p/st
596,13921150,Blankets and travelling rugs of synthetic fibres (excluding electric blankets),"1,261,933","4,940,140","16,252,612","58,723,610","250,601",:,p/st
597,13921190,"Blankets (excluding electric blankets) and travelling rugs of textile materials (excluding of wool or fine animal hair, of synthetic fibres)","503,129","4,670,500","5,310,471","23,986,250",:,"131,116",p/st
598,13921230,Bed linen of knitted or crocheted textiles,"797,500","5,990,320","4,036,100","24,614,180",0,0,kg
599,13921253,Bed linen of cotton (excluding knitted or crocheted),"2,857,400","31,687,620","41,826,400","293,230,260","16,505","773,135",kg
600,13921255,Bed linen of flax or ramie (excluding knitted or crocheted),"7,400","242,060","757,900","4,549,560",0,0,kg
601,13921259,"Bed linen of woven textiles (excluding of cotton, of flax or ramie)","1,771,800","14,215,040","40,624,700","220,414,130",:,:,kg
602,13921270,Bed linen of non-woven man-made fibres (excluding knitted or crocheted),"171,700","634,520","1,107,100","4,683,580",:,:,kg
603,13921330,Table linen of knitted or crocheted textiles,"62,100","695,520","237,400","1,568,380",0,0,kg
604,13921353,Table linen of cotton (excluding knitted or crocheted),"143,500","4,258,560","3,726,500","18,391,280",929,"87,034",kg
605,13921355,Table linen of flax (excluding knitted or crocheted),"11,700","445,900","71,700","1,264,760","10,058","842,084",kg
606,13921359,"Table linen of woven man-made fibres and of other woven or non-woven textiles (excluding of cotton, of flax)","126,300","964,670","1,924,000","10,296,070",:,:,kg
607,13921370,Table linen of non-woven man-made fibres,"3,600","58,760","578,900","2,832,470",0,0,kg
608,13921430,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton","2,851,700","22,782,730","36,183,300","199,055,270",0,0,kg
609,13921450,"Woven toilet linen and kitchen linen, of textiles (excluding terry towelling or similar terry fabrics of cotton)","777,100","9,277,290","7,698,300","47,289,410","183,880","2,881,170",kg
610,13921470,"Toilet linen and kitchen linen, of non-woven man-made fibres","16,700","158,030","160,300","1,344,280",0,0,kg
611,13921530,"Curtains and interior blinds, curtain or bed valances, of knitted or crocheted materials",:,"1,797,130",:,"6,526,740","1,197,738","32,610,686",m¿
612,13921550,"Curtains and interior blinds, curtain or bed valances, of woven materials",:,"23,138,910",:,"164,639,650","20,925,917","472,969,674",m¿
613,13921570,"Curtains and interior blinds, curtain or bed valances, of non-woven materials",:,"2,600,770",:,"13,215,740","8,920,838","20,202,100",m¿
614,13921620,"Hand-woven tapestries of the type Gobelins, Flanders, Aubusson, Beauvais, and needle-worked tapestries (including petit point, cross-stitch) whether or not made up",:,"4,175,430",:,"421,430",:,0,:
615,13921640,Bedspreads (excluding eiderdowns),"233,638","2,304,340","2,534,431","19,521,890",:,:,p/st
616,13921660,"Furnishing articles including furniture and cushion covers as well as cushion covers, etc. for car seats (excluding blankets, travelling rugs, bed linen, table linen, toilet linen, kitchen linen, curtains, blinds, valances and bedspreads)",:,"18,105,850",:,"92,062,290",:,"112,372,416",:
617,13921680,"Sets of woven fabrics and yarns for making up into rugs, tapestries, embroidered table cloths, serviettes, or similar textile articles, p.r.s.",:,"1,048,300",:,"2,662,370",:,:,:
618,13922130,"Sacks and bags, of cotton, used for packing goods","82,100","3,527,750","487,700","4,770,880",:,"1,909,100",kg
619,13922150,"Sacks and bags, of knitted or crocheted polyethylene or polypropylene strip, used for packing goods","41,000","143,640","1,290,300","4,728,810",0,0,kg
620,13922170,"Sacks and bags, of polyethylene or polypropylene strip, used for packing goods (excluding knitted or crocheted)","2,739,200","12,098,850","20,926,300","54,800,430","540,858","7,475,896",kg
621,13922173,"Sacks and bags, of polyethylene or polypropylene strip, weighing <= 120 g/m2, used for packing goods (excluding knitted or crocheted)",:,:,:,:,:,:,:
622,13922175,"Sacks and bags, of polyethylene or polypropylene strip, weighing > 120 g/m2, used for packing goods (excluding knitted or crocheted)",:,:,:,:,:,:,:
623,13922190,"Sacks and bags, used for packing goods (excluding of cotton, polyethylene or polypropylene strip)","2,556,600","27,702,560","21,955,800","57,481,770",:,:,kg
624,13922210,"Tarpaulins, awnings and sunblinds (excluding caravan awnings)","508,200","7,959,100","3,703,500","20,058,280","3,729,072","37,892,643",kg
625,13922230,Tents (including caravan awnings),"1,828,600","22,657,340","17,852,900","98,843,070","3,361,036","10,836,319",kg
626,13922250,Sails,"477,800","23,242,300","724,700","17,581,900","46,519,186","26,004,001",kg
627,13922270,"Pneumatic mattresses and other camping goods (excluding caravan awnings, tents, sleeping bags)","338,100","4,122,150","5,844,600","20,807,250",:,:,kg
628,13922300,"Parachutes and rotochutes, parts and accessories (including dirigible parachutes)","57,600","18,564,210","27,100","6,159,750",:,:,kg
629,13922430,Sleeping bags,"290,606","6,668,740","2,622,605","23,741,240",:,:,p/st
630,13922493,"Articles of bedding of feathers or down (including quilts and eiderdowns, cushions, pouffes, pillows) (excluding mattresses, sleeping bags)",:,"13,508,830",:,"42,826,010","1,007,401","15,282,974",p/st
631,13922499,"Articles of bedding filled other than with feathers or down (including quilts and eiderdowns, cushions, pouffes, pillows) (excluding mattresses, sleeping bags)",:,"53,739,340",:,"289,943,950","54,421,915","266,178,748",p/st
632,13922953,"Floor-cloths, dish-cloths, dusters and similar cleaning cloths, of non-woven textiles","882,900","4,607,810","5,963,600","21,851,520","3,824,415","18,433,159",kg
633,13922957,"Floor-cloths, dish-cloths, dusters and similar cleaning cloths (excluding knitted or crocheted, articles of non-woven textiles)","1,963,800","6,041,140","7,663,400","33,797,500","192,542","2,444,869",kg
634,13922990,"Floor-cloths, dish-cloths, dusters and similar cleaning cloths, knitted or crocheted; life-jackets, life-belts and other made up articles",:,:,:,:,:,:,:
635,13922993,"Sanitary towels, tampons and similar article of textile materials (excluding wadding)","162,600","1,124,990","1,660,700","8,222,410",0,0,kg
636,13922997,Napkins and napkin liners for babies and similar article of textile materials (excluding wadding),"823,200","8,199,750","3,824,500","17,715,190",0,0,kg
637,13922999,"Floor-cloths, dish-cloths, dusters and similar cleaning cloths, knitted or crocheted; life-jackets, life-belts and other made up articles (excluding sanitary towels and napkins and similar articles)","9,322,100","169,141,410","54,868,400","339,241,210","4,601,391","175,877,971",kg
638,13931100,Knotted carpets and other knotted textile floor coverings,:,"12,002,040",:,"36,363,010",:,"2,570,334",m¿
639,13931200,Woven carpets and other woven textile coverings (excluding tufted or flocked),:,"59,207,880",:,"143,986,990","2,780,990","78,774,966",m¿
640,13931300,Tufted carpets and other tufted textile floor coverings,:,"165,276,650",:,"611,693,710","66,368,184","666,405,941",m¿
641,13931930,Needlefelt carpets and other needlefelt textile floor coverings (excluding tufted or flocked),:,"12,392,670",:,"31,521,950","4,807,443","40,961,445",m¿
642,13931990,"Carpets and other textile floor coverings (excluding knotted, woven, tufted, needlefelt)",:,"47,604,880",:,"56,080,750","5,119,475","49,921,443",m¿
643,13941130,"Twine, cordage, rope or cables, of sisal or other textile fibres of `agave¿, of jute or other textile bast fibres and hard leaf fibres (excluding binder or baler twine)","446,400","1,259,740","540,500","1,495,350","359,906","2,439,217",kg
644,13941133,"Twine, cordage, rope or cables, of sisal or other textile fibres of 'agave' measuring >100,000 decitex, of jute or other textile bast fibres and hard leaf fibres (excluding binder or baler twine)",:,:,:,:,:,:,:
645,13941135,"Twines of sisal measuring <= 100,000 decitex (10 g/m) (excluding binder or baler twine)",:,:,:,:,:,:,:
646,13941153,Sisal binder or baler (agricultural) twines,"105,200","1,600,330","40,400","117,280",0,0,kg
647,13941155,Polyethylene or polypropylene binder or baler (agricultural) twines,"145,000","500,510","5,508,600","10,088,690",:,:,kg
648,13941160,"Cordage, ropes or cables of polyethylene, polypropylene, nylon or other polyamides or of polyesters measuring > 50 000 decitex, of other synthetic fibres (excluding binder or baler twine)","1,426,600","15,600,400","6,077,200","20,558,750","3,543,726","29,008,376",kg
649,13941170,"Twines of polyethylene or polypropylene, of nylon or other polyamides or polyesters measuring <= 50 000 decitex (5 g/m) (excluding binder or baler twine)","142,800","8,360,560","1,688,000","6,505,030","1,082,833","7,899,764",kg
650,13941190,"Twines, cordage, rope and cables of textile materials (excluding jute and other textile bast fibres, sisal, abaca or other hard leaf fibres, synthetic fibres)","165,700","4,496,020","897,300","4,049,320",:,:,kg
651,13941233,"Made-up fishing nets from twine, cordage or rope of man-made fibres (excluding fish landing nets)","21,000","178,550","364,500","1,312,400",:,:,kg
652,13941235,Made-up fishing nets from yarn of man-made fibres (excluding fish landing nets),"102,400","59,000","817,700","5,680,650",0,0,kg
653,13941253,"Made-up nets from twine, cable or rope of nylon or other polyamides (excluding netting in the piece produced by crochet, hairnets, sports and fishing nets)","129,800","5,056,420","1,791,300","8,815,380","321,535","9,135,197",kg
654,13941255,"Made-up nets of nylon or other polyamides (excluding netting in the piece produced by crochet, hairnets, sports and fishing nets, those made from twine, cable or rope)","71,500","1,592,810","741,000","3,114,300",:,:,kg
655,13941259,"Knotted netting of textile materials (excluding made-up fishing nets of man-made textiles, other made-up nets of nylon or other polyamides)","1,182,500","9,943,480","1,571,700","7,147,920",:,"1,641,216",kg
656,13941280,"Articles of twine, cordage, rope or cables","481,100","8,856,520","4,804,100","16,821,140","6,093","14,941,619",kg
657,13951010,"Non-wovens of a weight <= 25 g/m² (including articles made from non-wovens) (excluding articles of apparel, coated or covered)","5,163,400","22,089,580","16,284,700","47,785,110","3,576,863","10,370,630",kg
658,13951020,"Non-wovens of a weight of > 25 g/m² but <= 70 g/m² (including articles made from non-wovens) (excluding articles of apparel, coated or covered)","5,191,400","35,889,520","69,447,200","182,647,430","14,740,034","66,405,941",kg
659,13951030,"Non-wovens of a weight of > 70 g/m² but <= 150 g/m² (including articles made from non-wovens) (excluding articles of apparel, coated or covered)","4,995,400","22,318,980","27,262,100","90,610,610","8,279,892","42,835,505",kg
660,13951050,"Non-wovens of a weight of > 150 g/m² (including articles made from non-wovens) (excluding articles of apparel, coated or covered)","2,882,300","19,313,280","15,589,200","55,928,840","18,247,999","98,200,540",kg
661,13951070,"Non-wovens, coated or covered (including articles made from non-wovens) (excluding articles of apparel)","4,942,800","60,180,440","9,405,500","34,370,580","3,206,493","34,011,145",kg
662,13961100,Metallised yarn or metallised gimped yarn,"349,100","11,320,010","171,600","3,767,250",:,:,kg
663,13961200,"Woven fabrics of metal thread and woven fabrics of metallised yarn, used in apparel, as furnishing fabrics or similar purposes","11,500","434,570","93,200","1,733,430",0,0,kg
664,13961300,"Rubber thread and cord, textile covered; textile yarn and strip impregnated, coated, covered or sheathed with rubber or plastics","866,900","5,595,980","1,756,700","9,796,600",:,:,kg
665,13961400,"Textile fabrics, impregnated, coated or covered n.e.c.",:,"197,210,700",:,"154,603,700","22,286,107","156,655,853",m¿
666,13961500,"Tyre cord fabrics of high tenacity yarn, of nylon, other polyamides, polyesters or viscose rayon",:,"1,169,550",:,"49,167,630",:,:,m¿
667,13961620,"Textile hosepiping and similar textile tubing, whether or not impregnated or coated, with or without lining, armour or accessories of other materials","1,153,100","21,210,090","471,300","9,232,810","1,436,194","31,344,734",kg
668,13961650,"Textile wicks, conveyor belts or belting (including reinforced with metal or other material)","4,076,400","60,386,040","8,384,500","67,987,710","9,164,495","107,299,567",kg
669,13961680,"Textile fabrics and felts, for paper-making machines or similar machines (including for pulp or asbestos-cement)","440,200","18,601,400","293,700","13,532,890",:,"7,679,353",kg
670,13961730,"Narrow woven fabrics other than labels, badges and other similar articles",:,"33,373,470",:,"35,461,090",:,"65,260,933",:
671,13961750,"Labels, badges and similar articles in textile materials (excluding embroidered)",:,"19,404,130",:,"13,915,100",:,"21,032,881",:
672,13961770,"Braids in the piece; tassels and pompons, ornamental trimmings (excluding knitted or crocheted)",:,"3,893,180",:,"7,685,660",:,"1,827,718",:
673,13991130,"Tulles and other net fabrics (excluding woven, knitted or crocheted)",:,"2,821,980",:,"3,994,310",:,:,:
674,13991150,"Machine-made lace in the piece, in strips or in motifs",:,"4,244,630",:,"3,265,510",:,"4,955,296",:
675,13991170,"Hand-made lace in the piece, in strips or in motifs",:,"1,433,120",:,"275,350",:,0,:
676,13991230,"Embroidery (without visible ground) in the piece, in strips or in motifs",:,"1,226,120",:,"1,608,350",:,0,:
677,13991250,"Cotton embroidery in the piece, in strips or in motifs (excluding embroidery without visible ground)",:,"1,867,570",:,"2,798,680",:,"12,289,903",:
678,13991270,"Embroidery of textiles in the piece, in strips or in motifs (excluding without visible ground, cotton)",:,"9,065,940",:,"21,315,010",:,"1,111,099",:
679,13991300,"Felt, whether or not impregnated, coated, covered or laminated, n.e.c.","7,373,100","39,519,920","9,982,500","20,729,520","44,862,298","110,398,888",kg
680,13991400,Textile flock and dust and mill neps,"7,853,300","25,948,480","3,330,000","9,720,090","16,075,850","69,129,997",kg
681,13991500,"Gimped yarn and gimped strip and the like, of man-made textile materials of an apparent width <= 5 mm; chenille yarn; loop wale-yarn","27,700","740,910","266,600","2,333,570",0,0,kg
682,13991600,Quilted textile products in the piece (excluding embroidery),:,"4,099,840",:,"2,375,360",:,:,m¿
683,13991900,Powder-puffs and pads for the application of cosmetics or toilet preparations,:,"15,041,930",:,"13,402,840",:,:,p/st
684,14111000,"Articles of apparel of leather or of composition leather (including coats and overcoats) (excluding clothing accessories, headgear, footwear)",:,"83,054,720",:,"151,612,890","14,799","4,355,099",p/st
685,14121120,"Men¿s or boys¿ ensembles, of cotton or man-made fibres, for industrial and occupational wear","45,443","3,277,220","180,854","2,266,080","132,431","7,892,982",p/st
686,14121130,"Men¿s or boys¿ jackets and blazers, of cotton or man-made fibres, for industrial and occupational wear","1,193,007","20,261,450","3,088,238","26,012,070","143,938","3,886,019",p/st
687,14121240,"Men¿s or boys¿ trousers and breeches, of cotton or man-made fibres, for industrial or occupational wear","2,314,457","35,325,920","9,844,562","85,728,570","319,676","6,229,160",p/st
688,14121250,"Men¿s or boys¿ bib and brace overalls, of cotton or man-made fibres, for industrial or occupational wear","282,536","3,681,020","760,606","5,867,980","5,128","89,295",p/st
689,14122120,"Women¿s or girls¿ ensembles, of cotton or man-made fibres, for industrial or occupational wear","8,824","549,580","104,410","771,540","265,591","4,384,488",p/st
690,14122130,"Women¿s or girls¿ jackets and blazers, of cotton or man-made fibres, for industrial or occupational wear","152,416","4,346,450","633,503","6,941,090","357,469","10,342,372",p/st
691,14122240,"Women¿s or girls¿ trousers and breeches, of cotton or man-made fibres, for industrial or occupational wear","324,396","7,712,270","1,572,573","13,085,590","799,479","9,252,749",p/st
692,14122250,"Women¿s or girls¿ bib and brace overalls, of cotton or man-made fibres, for industrial or occupational wear","30,480","598,040","38,799","484,770",0,0,p/st
693,14123013,"Men¿s or boys¿ other garments, of cotton or man-made fibres, for industrial or occupational wear",:,"24,440,240",:,"84,982,440","2,968,265","64,623,436",p/st
694,14123023,"Women¿s or girls¿ other garments, of cotton or man-made fibres, for industrial or occupational wear",:,"12,878,550",:,"27,232,260","1,620,097","18,363,079",p/st
695,14131110,"Men¿s or boys¿ overcoats, car-coats, capes, cloaks and similar articles, of knitted or crocheted textiles (excluding jackets and blazers, anoraks, wind-cheaters and wind-jackets)","666,616","18,186,010","1,394,279","19,626,880",0,0,p/st
696,14131120,"Men¿s or boys¿ waistcoats, anoraks, ski-jackets, wind-cheaters, wind-jackets and similar articles, of knitted or crocheted textiles (excluding jackets and blazers)","3,271,196","51,997,850","10,442,462","124,674,500",:,:,p/st
697,14131230,"Men¿s or boys¿ jackets and blazers, of knitted or crocheted textiles","1,584,965","26,669,050","6,398,936","65,228,950","204,741","12,496,750",p/st
698,14131260,"Men¿s or boys¿ suits and ensembles, of knitted or crocheted textiles","379,446","10,268,300","2,886,265","20,711,250","4,513","8,597,167",p/st
699,14131270,"Men¿s or boys¿ trousers, breeches, shorts, bib and brace overalls, of knitted or crocheted textiles","10,388,748","120,338,400","52,466,246","319,233,470","26,135","924,597",p/st
700,14131310,"Women¿s or girls¿ overcoats, car-coats, capes, cloaks and similar articles, of knitted or crocheted textiles (excluding jackets and blazers)","921,846","26,450,150","5,973,839","62,045,020","70,497","5,484,283",p/st
701,14131320,"Women¿s or girls¿ waistcoats, anoraks, ski-jackets, wind-cheaters, wind-jackets and similar articles, of knitted or crocheted textiles (excluding jackets and blazers)","4,441,385","48,708,060","12,406,557","120,044,420",0,0,p/st
702,14131430,"Women¿s or girls¿ jackets and blazers, of knitted or crocheted textiles","838,664","17,478,720","6,507,082","61,254,900","150,354","4,378,836",p/st
703,14131460,"Women¿s or girls¿ suits and ensembles, of knitted or crocheted textiles","1,876,642","33,409,840","7,290,691","47,078,250","9,305","1,055,713",p/st
704,14131470,"Women¿s or girls¿ dresses, of knitted or crocheted textiles","14,291,369","279,378,600","67,944,988","545,323,250","6,574,657","80,417,312",p/st
705,14131480,"Women¿s or girls¿ skirts and divided skirts, of knitted or crocheted textiles","4,659,599","31,052,560","10,981,909","64,802,670","2,019,918","16,873,326",p/st
706,14131490,"Women¿s or girls¿ trousers, breeches, shorts, bib and brace overalls, of knitted or crocheted textiles","17,107,306","164,187,280","145,535,348","617,903,300","706,845","7,418,250",p/st
707,14132110,Men's or boys' raincoats,:,:,:,:,:,:,:
708,14132115,"Men¿s or boys¿ raincoats, overcoats, car-coats, capes, etc.","2,100,425","112,100,320","10,259,368","227,841,310","135,324","20,096,981",p/st
709,14132120,"Men's or boys' overcoats, car-coats, capes, etc",:,:,:,:,:,:,:
710,14132130,"Men¿s or boys¿ waistcoats, anoraks, ski-jackets, wind-jackets and similar articles (excluding jackets and blazers, knitted or crocheted, impregnated, coated, covered, laminated or rubberised)","6,068,866","170,774,770","24,996,768","465,809,210","212,814","6,641,724",p/st
711,14132200,Men¿s or boys¿ suits & ensembles (excluding knitted or crocheted),"1,095,612","46,873,290","3,680,182","97,633,710","2,224,158","48,493,857",p/st
712,14132210,Men's or boys' suits (excluding knitted or crocheted),:,:,:,:,:,:,:
713,14132220,Men's or boys' ensembles (excluding knitted or crocheted),:,:,:,:,:,:,:
714,14132300,Men¿s or boys¿ jackets and blazers (excluding knitted or crocheted),"2,645,400","106,753,990","13,668,882","315,554,170","521,193","11,963,242",p/st
715,14132442,"Men¿s or boys¿ trousers and breeches, of denim (excluding for industrial or occupational wear)","6,260,897","120,624,090","32,956,690","354,461,090","106,949","4,480,564",p/st
716,14132444,"Men¿s or boys¿ trousers, breeches and shorts, of wool or fine animal hair (excluding knitted or crocheted, for industrial or occupational wear)","651,899","16,899,210","2,956,669","58,409,910","5,166","894,078",p/st
717,14132445,"Men¿s or boys¿ trousers and breeches, of man-made fibres (excluding knitted or crocheted, for industrial or occupational wear)","3,194,626","48,574,200","30,807,119","199,142,990",:,:,p/st
718,14132448,"Men¿s or boys¿ trousers and breeches, of cotton (excluding denim, knitted or crocheted)","5,227,347","80,358,930","29,589,444","251,138,510",:,:,p/st
719,14132449,"Men¿s or boys¿ trousers, breeches, shorts and bib and brace overalls (excluding of wool, cotton and man-made fibres, knitted or crocheted)","234,986","5,243,520","2,859,709","23,450,090",:,:,p/st
720,14132455,"Men¿s or boys¿ bib and brace overalls (excluding knitted or crocheted, for industrial or occupational wear)","66,120","1,294,450","804,682","6,043,700",:,:,p/st
721,14132460,"Men¿s or boys¿ shorts, of cotton or man-made fibres (excluding knitted or crocheted)","4,887,716","54,535,300","34,552,936","206,017,240","239,830","2,088,820",p/st
722,14133110,Woman's or girls' raincoats,:,:,:,:,:,:,:
723,14133115,"Woman¿s or girls¿ raincoats and overcoats, etc","3,171,575","206,192,660","18,642,614","421,887,810","1,456,637","54,113,777",p/st
724,14133120,"Woman's or girls' overcoats, etc",:,:,:,:,:,:,:
725,14133130,"Women¿s or girls¿ waistcoats, anoraks, ski-jackets, wind-jackets and similar articles (excluding jackets and blazers, knitted or crocheted, impregnated, coated, covered, laminated or rubberised)","4,755,709","124,192,760","21,584,756","356,538,520","165,607","3,658,826",p/st
726,14133200,Women¿s or girls¿ suits & ensembles (excluding knitted or crocheted),"1,814,674","39,481,840","7,286,420","49,815,610","230,987","18,918,064",p/st
727,14133210,Women's or girls' suits (excluding knitted or crocheted),:,:,:,:,:,:,:
728,14133220,Women's or girls' ensembles (excluding knitted or crocheted),:,:,:,:,:,:,:
729,14133330,Women¿s or girls¿ jackets and blazers (excluding knitted or crocheted),"3,206,050","115,772,550","15,835,404","286,234,730","2,182,728","35,719,049",p/st
730,14133470,Women¿s or girls¿ dresses (excluding knitted or crocheted),"19,373,076","638,526,600","86,717,688","1,085,463,520","19,476,622","302,856,303",p/st
731,14133480,Women¿s or girls¿ skirts and divided skirts (excluding knitted or crocheted),"4,301,423","89,826,000","27,159,291","227,718,980","3,833,910","39,636,717",p/st
732,14133542,"Women¿s or girls¿ trousers and breeches, of denim (excluding for industrial or occupational wear)","10,679,835","173,078,360","50,895,050","438,813,360","675,123","13,807,914",p/st
733,14133548,"Women¿s or girls¿ trousers and breeches, of cotton (excluding denim, for industrial or occupational wear)","3,985,094","67,057,650","28,642,049","231,498,830","1,756,762","9,618,971",p/st
734,14133549,"Women¿s or girls¿ trousers and breeches, of wool or fine animal hair or man-made fibres (excluding knitted or crocheted and for industrial and occupational wear)","5,941,820","99,644,040","43,915,769","323,827,770","5,937,506","39,203,807",p/st
735,14133551,"Women¿s or girls¿ bib and brace overalls, of cotton (excluding knitted or crocheted, for industrial or occupational wear)","179,016","2,672,170","645,186","6,656,290",0,0,p/st
736,14133561,"Women¿s or girls¿ shorts, of cotton (excluding knitted and crocheted)","1,751,580","27,938,540","12,253,690","78,325,440","56,014","550,463",p/st
737,14133563,"Women's or girls' bib and brace overalls, of wool or fine animal hair and man-made fibres (excluding cotton, knitted or crocheted, for industrial or occupational wear) and women's or girls' shorts, of wool or fine animal hair (excluding knitted or crocheted)","241,385","3,364,500","621,454","7,693,360",0,0,p/st
738,14133565,"Women¿s or girls¿ shorts, of man-made fibres (excluding knitted or crocheted)","1,363,840","15,929,600","8,603,787","44,967,600","51,470","284,839",p/st
739,14133569,"Women¿s or girls¿ trousers, breeches, bib and brace overalls, of textiles (excluding cotton, wool or fine animal hair, man-made fibres, knitted or crocheted)","746,258","20,769,000","7,986,003","68,245,370",:,:,p/st
740,14141100,"Men's or boys' shirts, knitted or crocheted","13,150,128","126,768,120","89,829,021","452,162,510","215,794","12,764,635",p/st
741,14141220,"Men¿s or boys¿ underpants and briefs, of knitted or crocheted textiles (including boxer shorts)","8,189,841","39,952,570","121,629,910","201,127,930","65,247","365,091",p/st
742,14141230,"Men¿s or boys¿ nightshirts and pyjamas, of knitted or crocheted textiles","1,523,719","13,085,860","15,022,879","53,947,140",:,"100,598",p/st
743,14141240,"Men¿s or boys¿ dressing gowns, bathrobes and similar articles, of knitted or crocheted textiles","377,570","4,492,810","6,005,899","31,998,010",0,0,p/st
744,14141310,"Women¿s or girls¿ blouses, shirts and shirt-blouses, of knitted or crocheted textiles","8,267,349","83,545,590","40,119,616","187,386,560","3,334,124","22,461,598",p/st
745,14141420,"Women¿s or girls¿ briefs and panties, of knitted or crocheted textiles (including boxer shorts)","9,285,626","34,053,510","210,107,399","231,671,930",:,"415,956",p/st
746,14141430,"Women¿s or girls¿ nighties and pyjamas, of knitted or crocheted textiles","3,985,895","33,995,480","41,440,432","185,962,480",:,:,p/st
747,14141440,"Women¿s or girls¿ negligees, bathrobes, dressing gowns and similar articles, of knitted or crocheted textiles","934,186","10,305,700","14,889,483","71,841,420",0,0,p/st
748,14141450,"Women¿s or girls¿ slips and petticoats, of knitted or crocheted textiles","801,347","6,056,080","1,262,805","6,835,100","6,357","212,499",p/st
749,14142100,Men¿s or boys¿ shirts (excluding knitted or crocheted),"14,414,184","204,019,410","87,921,978","616,814,160","301,853","14,496,276",p/st
750,14142220,Men¿s or boys¿ underpants and briefs (including boxer shorts) (excluding knitted or crocheted),"2,218,614","14,056,150","10,799,803","31,275,940",:,:,p/st
751,14142230,Men¿s or boys¿ nightshirts and pyjamas (excluding knitted or crocheted),"221,640","4,034,660","6,354,427","28,103,950",0,0,p/st
752,14142240,"Men¿s or boys¿ singlets, vests, bathrobes, dressing gowns and similar articles (excluding knitted or crocheted)",:,"4,040,310",:,"13,857,890",0,0,p/st
753,14142300,"Women¿s or girls¿ blouses, shirts and shirt-blouses (excluding knitted or crocheted)","19,950,781","272,009,580","115,464,108","753,841,710","11,953,428","108,825,491",p/st
754,14142430,Women¿s or girls¿ nightdresses and pyjamas (excluding knitted or crocheted),"1,066,616","13,156,520","10,022,264","58,765,570",0,0,p/st
755,14142450,Women¿s or girls¿ slips and petticoats (excluding knitted or crocheted),"209,659","1,915,770","778,304","3,773,550",0,0,p/st
756,14142460,"Women¿s or girls¿ singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns, housecoats and similar articles of cotton (excluding knitted or crocheted)",:,"3,999,420",:,"16,107,620","392,439","1,765,550",p/st
757,14142480,"Women's or girls' negligees, bathrobes, dressing gowns, singlets, vests, briefs and panties (including boxer shorts), of man-made fibres (excluding knitted or crocheted)",:,"6,493,230",:,"24,522,640",:,:,p/st
